suburb,address,price,sold_date,property_type,bedrooms,bathrooms,parking,land_size,collected_at
ABERDEEN,"118 St Andrews Street, Aberdeen NSW 2336",545000,2025-01-07,house,4.0,1.0,2.0,836.0,2025-03-18T03:30:13.718813
ABERFOYLE,"96 O'dell Street, Armidale NSW 2350",460000,2025-03-17,house,3.0,1.0,1.0,754.0,2025-03-18T03:30:13.723168
ABERFOYLE,"6 Kathleen Crescent, Armidale NSW 2350",625000,2025-03-17,house,3.0,2.0,1.0,932.0,2025-03-18T03:30:13.723168
ABERFOYLE,"165 Marsh Street, Armidale NSW 2350",900000,2025-03-17,house,3.0,1.0,2.0,771.0,2025-03-18T03:30:13.723168
ABERFOYLE,"14 Wade Avenue, Armidale NSW 2350",440000,2025-03-14,house,2.0,1.0,1.0,507.0,2025-03-18T03:30:13.723168
ABERFOYLE,"182 Galloway Street, Armidale NSW 2350",550000,2025-03-13,house,3.0,2.0,2.0,861.0,2025-03-18T03:30:13.723168
ABERFOYLE,"21 Bowman Avenue, Armidale NSW 2350",520000,2025-03-13,house,3.0,1.0,4.0,1151.0,2025-03-18T03:30:13.723168
ABERFOYLE,"77 Queen Elizabeth Drive, Armidale NSW 2350",445000,2025-03-13,house,3.0,1.0,,768.0,2025-03-18T03:30:13.723168
ABERFOYLE,"10 Shambrook Avenue, Armidale NSW 2350",520000,2025-03-12,house,3.0,2.0,1.0,985.0,2025-03-18T03:30:13.723168
ABERFOYLE,"4 Holmes Avenue, Armidale NSW 2350",400000,2025-03-12,house,3.0,1.0,1.0,835.0,2025-03-18T03:30:13.723168
ABERFOYLE,"67 Brown Street, Armidale NSW 2350",325000,2025-03-12,house,2.0,1.0,,623.0,2025-03-18T03:30:13.723168
ABERFOYLE,"2/216 Taylor Street, Armidale NSW 2350",275000,2025-03-11,residential land,,,,4002.0,2025-03-18T03:30:13.723168
ABERFOYLE,"10 Claude Street, Armidale NSW 2350",440000,2025-03-11,house,3.0,1.0,4.0,733.0,2025-03-18T03:30:13.723168
ABERFOYLE,"4 Bruce Close, Armidale NSW 2350",680000,2025-03-11,house,4.0,2.0,2.0,501.0,2025-03-18T03:30:13.723168
ABERFOYLE,"13 Spearmount Drive, Armidale NSW 2350",690000,2025-03-11,house,4.0,2.0,2.0,1000.0,2025-03-18T03:30:13.723168
ABERFOYLE,"15 Duval Street, Armidale NSW 2350",485700,2025-03-10,house,3.0,1.0,1.0,816.0,2025-03-18T03:30:13.723168
ABERFOYLE,"195 Donnelly Street, Armidale NSW 2350",555000,2025-03-10,house,5.0,2.0,2.0,1036.0,2025-03-18T03:30:13.723168
ABERFOYLE,"17a/17b Grills Place, Armidale NSW 2350",640000,2025-03-07,unit,4.0,2.0,2.0,,2025-03-18T03:30:13.723168
ABERFOYLE,"16 Campbell Parade, Armidale NSW 2350",270000,2025-03-07,residential land,,,,1001.0,2025-03-18T03:30:13.723168
ABERFOYLE,"951 Grafton Road, Armidale NSW 2350",878000,2025-03-07,mixed farming,4.0,1.0,4.0,271100.0,2025-03-18T03:30:13.723168
ABERFOYLE,"63 MacDonald Drive, Armidale NSW 2350",495000,2025-03-06,house,3.0,1.0,2.0,675.0,2025-03-18T03:30:13.723168
ABERFOYLE,"181 Jessie Street, Armidale NSW 2350",725000,2025-03-06,house,4.0,1.0,2.0,784.0,2025-03-18T03:30:13.723168
ABERFOYLE,"155 Jessie Street, Armidale NSW 2350",490000,2025-03-06,house,3.0,2.0,2.0,664.0,2025-03-18T03:30:13.723168
ABERFOYLE,"7 Chestnut Avenue, Armidale NSW 2350",580000,2025-03-05,house,6.0,1.0,2.0,1170.0,2025-03-18T03:30:13.723168
ABERFOYLE,"64 Dangar Street, Armidale NSW 2350",450000,2025-03-03,house,3.0,1.0,1.0,682.0,2025-03-18T03:30:13.723168
ABERFOYLE,"195 Brown Street, Armidale NSW 2350",310000,2025-03-03,house,2.0,1.0,1.0,270.0,2025-03-18T03:30:13.723168
ABERFOYLE,"24 Bilga Road, Armidale NSW 2350",875000,2025-02-28,house,4.0,3.0,2.0,20200.0,2025-03-18T03:30:13.723168
ABERFOYLE,"51 Taylor Street, Armidale NSW 2350",480000,2025-02-26,house,2.0,1.0,3.0,835.0,2025-03-18T03:30:13.723168
ABERFOYLE,"8 Argunna Crescent, Armidale NSW 2350",370000,2025-02-25,residential land,,,,4003.0,2025-03-18T03:30:13.723168
ABERFOYLE,"773 Lyndhurst Road, Armidale NSW 2350",600000,2025-02-25,acreage-semi-rural,2.0,1.0,2.0,800000.0,2025-03-18T03:30:13.723168
ABERFOYLE,"4/54-56 Claude Street, Armidale NSW 2350",335000,2025-02-24,unit,3.0,2.0,1.0,,2025-03-18T03:30:13.723168
ABERFOYLE,"9964 New England Highway, Armidale NSW 2350",920000,2025-02-21,house,6.0,3.0,17.0,10100.0,2025-03-18T03:30:13.723168
ABERFOYLE,"8 Sarah Place, Armidale NSW 2350",420000,2025-02-21,house,3.0,1.0,1.0,772.0,2025-03-18T03:30:13.723168
ABERFOYLE,"86 Douglas Street, Armidale NSW 2350",442000,2025-02-21,house,3.0,1.0,1.0,632.0,2025-03-18T03:30:13.723168
ABERFOYLE,"30 Campbell Parade, Armidale NSW 2350",257500,2025-02-18,residential land,,,,1488.0,2025-03-18T03:30:13.723168
ABERFOYLE,"140 Markham Street, Armidale NSW 2350",460000,2025-02-18,house,2.0,1.0,3.0,619.0,2025-03-18T03:30:13.723168
ABERFOYLE,"30 Rockvale Road, Armidale NSW 2350",520000,2025-02-17,house,4.0,2.0,2.0,821.0,2025-03-18T03:30:13.723168
ABERFOYLE,"14 Napier Court, Armidale NSW 2350",650000,2025-02-17,house,5.0,3.0,2.0,871.0,2025-03-18T03:30:13.723168
ABERFOYLE,"45 Ash Tree Drive, Armidale NSW 2350",620000,2025-02-14,house,3.0,1.0,2.0,1227.0,2025-03-18T03:30:13.723168
ABERFOYLE,"2 Lilley Lane, Armidale NSW 2350",1170000,2025-02-14,house,4.0,2.0,5.0,10100.0,2025-03-18T03:30:13.723168
ABERFOYLE,"10 Rujala Lane, Armidale NSW 2350",360000,2025-02-12,residential land,,,,4008.0,2025-03-18T03:30:13.723168
ABERFOYLE,"4/206 Beardy Street, Armidale NSW 2350",390000,2025-02-12,house,1.0,1.0,,,2025-03-18T03:30:13.723168
ABERFOYLE,"3 Aldred Avenue, Armidale NSW 2350",440000,2025-02-12,house,3.0,1.0,1.0,693.0,2025-03-18T03:30:13.723168
ABERFOYLE,"2/2 Sunset Avenue, Armidale NSW 2350",305000,2025-02-12,house,2.0,1.0,1.0,468.0,2025-03-18T03:30:13.723168
ABERFOYLE,"3 Milson Place, Armidale NSW 2350",510000,2025-02-11,house,3.0,1.0,1.0,466.0,2025-03-18T03:30:13.723168
ABERFOYLE,"75 Norris Drive, Armidale NSW 2350",625000,2025-02-11,house,3.0,2.0,2.0,838.0,2025-03-18T03:30:13.723168
ABERFOYLE,"6 Ben Venue Boulevard, Armidale NSW 2350",580000,2025-02-10,house,4.0,2.0,2.0,881.0,2025-03-18T03:30:13.723168
ABERFOYLE,"Lot 806, Honeysuckle Drive, Armidale NSW 2350",215000,2025-02-07,residential land,,,,1235.0,2025-03-18T03:30:13.723168
ABERFOYLE,"5/90 Douglas Street, Armidale NSW 2350",540000,2025-02-06,unit,3.0,1.0,1.0,304.0,2025-03-18T03:30:13.723168
ABERFOYLE,"69 Barney Street, Armidale NSW 2350",590000,2025-02-05,house,3.0,2.0,1.0,980.0,2025-03-18T03:30:13.723168
ABERFOYLE,"9 Wilara Cove, Armidale NSW 2350",1300000,2025-02-04,house,6.0,3.0,6.0,32600.0,2025-03-18T03:30:13.723168
ABERFOYLE,"213 Kalinda Road, Armidale NSW 2350",795000,2025-02-04,acreage-semi-rural,3.0,3.0,2.0,38300.0,2025-03-18T03:30:13.723168
ABERFOYLE,"2 Jewel Avenue, Armidale NSW 2350",445000,2025-02-03,house,3.0,1.0,,654.0,2025-03-18T03:30:13.723168
ABERFOYLE,"28 Westview Road, Armidale NSW 2350",1150000,2025-01-31,house,5.0,2.0,2.0,20200.0,2025-03-18T03:30:13.723168
ABERFOYLE,"10 - 12 Jackes Street, Armidale NSW 2350",600000,2025-01-31,house,5.0,2.0,3.0,1441.0,2025-03-18T03:30:13.723168
ABERFOYLE,"8 Rusden Court, Armidale NSW 2350",565000,2025-01-31,house,4.0,2.0,2.0,539.0,2025-03-18T03:30:13.723168
ABERFOYLE,"4/210-216 Donnelly Street, Armidale NSW 2350",320000,2025-01-30,unit,2.0,1.0,1.0,236.0,2025-03-18T03:30:13.723168
ABERFOYLE,"29 Link Road, Armidale NSW 2350",225000,2025-01-29,residential land,,,,746.0,2025-03-18T03:30:13.723168
ABERFOYLE,"5 Haga Place, Armidale NSW 2350",485000,2025-01-29,house,4.0,1.0,1.0,767.0,2025-03-18T03:30:13.723168
ABERFOYLE,"88 Jeffrey Street, Armidale NSW 2350",480000,2025-01-28,house,3.0,2.0,1.0,657.0,2025-03-18T03:30:13.723168
ABERFOYLE,"1 Dorothy Avenue, Armidale NSW 2350",610000,2025-01-24,house,4.0,1.0,1.0,1105.0,2025-03-18T03:30:13.723168
ABERFOYLE,"132 Handel Street, Armidale NSW 2350",775000,2025-01-24,house,5.0,3.0,2.0,1290.0,2025-03-18T03:30:13.723168
ABERFOYLE,"15 Jones Avenue, Armidale NSW 2350",390000,2025-01-23,house,3.0,1.0,2.0,674.0,2025-03-18T03:30:13.723168
ABERFOYLE,"165 Miller Street, Armidale NSW 2350",385000,2025-01-23,house,3.0,1.0,2.0,696.0,2025-03-18T03:30:13.723168
ABERFOYLE,"29 Solomon Avenue, Armidale NSW 2350",430000,2025-01-23,house,3.0,1.0,2.0,599.0,2025-03-18T03:30:13.723168
ABERFOYLE,"30 Taylor Street, Armidale NSW 2350",510000,2025-01-23,house,3.0,1.0,2.0,683.0,2025-03-18T03:30:13.723168
ABERFOYLE,"7A & 7B Grills Place, Armidale NSW 2350",550000,2025-01-23,duplex-semi-detached,3.0,2.0,2.0,,2025-03-18T03:30:13.723168
ABERFOYLE,"133 Jeffrey Street, Armidale NSW 2350",740000,2025-01-22,house,5.0,2.0,2.0,824.0,2025-03-18T03:30:13.723168
ABERFOYLE,"2 Howard Place, Armidale NSW 2350",470000,2025-01-21,house,4.0,1.0,1.0,1068.0,2025-03-18T03:30:13.723168
ABERFOYLE,"8 McCarthy Crescent, Armidale NSW 2350",880000,2025-01-20,house,4.0,2.0,2.0,914.0,2025-03-18T03:30:13.723168
ABERFOYLE,"20 Bushel Street, Armidale NSW 2350",680000,2025-01-20,house,4.0,2.0,2.0,666.0,2025-03-18T03:30:13.723168
ABERFOYLE,"4 Somerville Close, Armidale NSW 2350",560000,2025-01-20,house,4.0,2.0,2.0,941.0,2025-03-18T03:30:13.723168
ABERFOYLE,"2/3 Carlow Close, Armidale NSW 2350",545000,2025-01-17,house,3.0,2.0,1.0,,2025-03-18T03:30:13.723168
ABERFOYLE,"89 Ash Tree Drive, Armidale NSW 2350",585000,2025-01-17,house,4.0,2.0,2.0,942.0,2025-03-18T03:30:13.723168
ABERFOYLE,"95 Taylor Street, Armidale NSW 2350",685000,2025-01-17,house,4.0,3.0,2.0,818.0,2025-03-18T03:30:13.723168
ABERFOYLE,"1&2/81 Box Hill Drive, Armidale NSW 2350",760000,2025-01-17,unitblock,6.0,4.0,2.0,,2025-03-18T03:30:13.723168
ABERFOYLE,"160 Markham Street, Armidale NSW 2350",420000,2025-01-16,house,2.0,1.0,1.0,675.0,2025-03-18T03:30:13.723168
ABERFOYLE,"3/10 Ailsa Crescent, Armidale NSW 2350",320000,2025-01-15,unit,2.0,1.0,1.0,,2025-03-18T03:30:13.723168
ABERFOYLE,"4 Fitzgerald Avenue, Armidale NSW 2350",450000,2025-01-14,house,3.0,2.0,2.0,715.0,2025-03-18T03:30:13.723168
ABERFOYLE,"28 Campbell Parade, Armidale NSW 2350",1240000,2025-01-14,house,5.0,3.0,2.0,1245.0,2025-03-18T03:30:13.723168
ABERFOYLE,"91 Niagara Street, Armidale NSW 2350",410000,2025-01-14,house,3.0,1.0,1.0,647.0,2025-03-18T03:30:13.723168
ABERFOYLE,"2 Rockvale Road, Armidale NSW 2350",410000,2025-01-09,house,2.0,1.0,2.0,879.0,2025-03-18T03:30:13.723168
ABERFOYLE,"301a Beardy Street, Armidale NSW 2350",455000,2025-01-07,house,3.0,1.0,1.0,519.0,2025-03-18T03:30:13.723168
ABERGLASSLYN,"8 Golden Ash Drive, Aberglasslyn NSW 2320",1380000,2025-03-17,house,5.0,2.0,10.0,4078.0,2025-03-18T03:30:13.725433
ABERGLASSLYN,"65 Birch Grove, Aberglasslyn NSW 2320",750000,2025-03-12,house,4.0,2.0,2.0,649.0,2025-03-18T03:30:13.725433
ABERGLASSLYN,"3 Grebe Street, Aberglasslyn NSW 2320",650000,2025-03-04,house,3.0,2.0,2.0,371.0,2025-03-18T03:30:13.725433
ABERGLASSLYN,"533 Oakhampton Road, Aberglasslyn NSW 2320",720000,2025-03-03,house,4.0,2.0,2.0,,2025-03-18T03:30:13.725433
ABERGLASSLYN,"27 Pyalla Avenue, Aberglasslyn NSW 2320",820000,2025-02-28,house,4.0,2.0,4.0,690.0,2025-03-18T03:30:13.725433
ABERGLASSLYN,"18 Triller Street, Aberglasslyn NSW 2320",770000,2025-02-28,house,3.0,2.0,2.0,506.0,2025-03-18T03:30:13.725433
ABERGLASSLYN,"13 Golden Whistler Avenue, Aberglasslyn NSW 2320",750000,2025-02-28,house,4.0,2.0,2.0,480.0,2025-03-18T03:30:13.725433
ABERGLASSLYN,"39 Budgeree Drive, Aberglasslyn NSW 2320",625000,2025-02-27,house,3.0,2.0,2.0,659.0,2025-03-18T03:30:13.725433
ABERGLASSLYN,"34 Lorikeet Street, Aberglasslyn NSW 2320",750000,2025-02-26,house,4.0,2.0,2.0,480.0,2025-03-18T03:30:13.725433
ABERGLASSLYN,"26 Finch Crescent, Aberglasslyn NSW 2320",710000,2025-02-14,house,4.0,2.0,2.0,438.0,2025-03-18T03:30:13.725433
ABERGLASSLYN,"17 Dove Street, Aberglasslyn NSW 2320",750000,2025-02-14,house,4.0,2.0,2.0,545.0,2025-03-18T03:30:13.725433
ABERGLASSLYN,"128 McKeachie Drive, Aberglasslyn NSW 2320",647000,2025-02-10,house,3.0,2.0,1.0,,2025-03-18T03:30:13.725433
ABERGLASSLYN,"4 Corella Close, Aberglasslyn NSW 2320",800000,2025-02-07,house,5.0,2.0,2.0,525.0,2025-03-18T03:30:13.725433
ABERGLASSLYN,"83 Budgeree Drive, Aberglasslyn NSW 2320",875000,2025-02-05,house,5.0,2.0,2.0,802.0,2025-03-18T03:30:13.725433
ABERGLASSLYN,"227 Denton Park Drive, Aberglasslyn NSW 2320",880000,2025-02-05,house,4.0,2.0,2.0,1017.0,2025-03-18T03:30:13.725433
ABERGLASSLYN,"48 Cockatoo Ridge, Aberglasslyn NSW 2320",1100000,2025-02-04,house,4.0,2.0,8.0,1164.0,2025-03-18T03:30:13.725433
ABERGLASSLYN,"10 Golden Whistler Avenue, Aberglasslyn NSW 2320",822500,2025-02-03,house,4.0,2.0,3.0,558.0,2025-03-18T03:30:13.725433
ABERGLASSLYN,"2 Paperbark Parade, Aberglasslyn NSW 2320",950000,2025-01-31,house,4.0,2.0,2.0,871.0,2025-03-18T03:30:13.725433
ABERGLASSLYN,"18 Blue Gum Drive, Aberglasslyn NSW 2320",1300000,2025-01-28,house,4.0,3.0,4.0,4056.0,2025-03-18T03:30:13.725433
ABERGLASSLYN,"29 Cockatoo Ridge, Aberglasslyn NSW 2320",742000,2025-01-24,house,4.0,2.0,2.0,510.0,2025-03-18T03:30:13.725433
ABERGLASSLYN,"6 Arrowgrass Street, Aberglasslyn NSW 2320",1050000,2025-01-21,house,4.0,2.0,2.0,923.0,2025-03-18T03:30:13.725433
ABERGLASSLYN,"14 Appletree Avenue, Aberglasslyn NSW 2320",850000,2025-01-13,house,4.0,2.0,2.0,758.0,2025-03-18T03:30:13.725433
ABERGLASSLYN,"2/53 Warbler Avenue, Aberglasslyn NSW 2320",540000,2025-01-07,villa,2.0,1.0,1.0,195.0,2025-03-18T03:30:13.725433
ABERGLASSLYN,"24 Sandpiper Circuit, Aberglasslyn NSW 2320",730200,2025-01-07,house,4.0,2.0,2.0,626.0,2025-03-18T03:30:13.725433
ABERMAIN,"72 Harle Street, Abermain NSW 2326",470000,2025-03-07,house,2.0,1.0,1.0,319.0,2025-03-18T03:30:13.727097
ABERMAIN,"Lot 261 Vera Street, Abermain NSW 2326",615000,2025-01-29,house,3.0,2.0,1.0,303.0,2025-03-18T03:30:13.727097
ACACIA GARDENS,"78 Trevor Toms Drive, Acacia Gardens NSW 2763",1325000,2025-02-23,house,4.0,2.0,2.0,401.0,2025-03-18T03:30:23.831838
ACACIA GARDENS,"4 Acorn Way, Acacia Gardens NSW 2763",1395000,2025-02-23,house,4.0,2.0,2.0,495.0,2025-03-18T03:30:23.831838
ACACIA GARDENS,"25 Crestreef Drive, Acacia Gardens NSW 2763",1435000,2025-02-15,house,4.0,2.0,4.0,612.0,2025-03-18T03:30:23.831838
ADAMINABY,"15 Baker Street, Adaminaby NSW 2629",422000,2025-02-03,house,3.0,1.0,1.0,,2025-03-18T03:30:28.908222
ADAMINABY,"109 Scenic Drive, Adaminaby NSW 2629",620000,2025-01-15,house,3.0,1.0,7.0,21000.0,2025-03-18T03:30:28.908222
ADAMSTOWN,"1/23 Popran Road, Adamstown NSW 2289",481000,2025-03-04,unit,1.0,1.0,1.0,,2025-03-18T03:30:28.911706
ADAMSTOWN,"202/106-108 Brunker Road, Adamstown NSW 2289",580000,2025-02-28,apartment,1.0,1.0,,,2025-03-18T03:30:28.911706
ADAMSTOWN,"1/41 Lockyer Street, Adamstown NSW 2289",1082000,2025-02-27,townhouse,3.0,2.0,1.0,,2025-03-18T03:30:28.911706
ADAMSTOWN,"37 Fourth Street, Adamstown NSW 2289",1075000,2025-02-22,house,3.0,1.0,2.0,456.0,2025-03-18T03:30:28.911706
ADAMSTOWN,"207/106-108 Brunker Road, Adamstown NSW 2289",795000,2025-02-21,apartment,2.0,2.0,1.0,,2025-03-18T03:30:28.911706
ADAMSTOWN,"8/8 Mandalong Road, Adamstown NSW 2289",470000,2025-02-19,unit,2.0,1.0,1.0,,2025-03-18T03:30:28.911706
ADAMSTOWN,"204/106-108 Brunker Road, Adamstown NSW 2289",580000,2025-02-19,apartment,1.0,1.0,,,2025-03-18T03:30:28.911706
ADAMSTOWN,"8/466 Glebe Road, Adamstown NSW 2289",528000,2025-02-14,unit,2.0,1.0,1.0,67.0,2025-03-18T03:30:28.911706
ADAMSTOWN,"102/106-108 Brunker Road, Adamstown NSW 2289",530000,2025-02-14,apartment,1.0,1.0,,,2025-03-18T03:30:28.911706
ADAMSTOWN,"1/10 Bourke Street, Adamstown NSW 2289",570000,2025-02-08,unit,2.0,1.0,1.0,,2025-03-18T03:30:28.911706
ADAMSTOWN,"186 Gosford Road, Adamstown NSW 2289",1400000,2025-02-06,house,3.0,2.0,1.0,337.0,2025-03-18T03:30:28.911706
ADAMSTOWN,"12 Victoria Street, Adamstown NSW 2289",1170000,2025-01-24,house,3.0,1.0,1.0,364.0,2025-03-18T03:30:28.911706
ADAMSTOWN,"2/23 Popran Road, Adamstown NSW 2289",487500,2025-01-17,unit,1.0,1.0,1.0,,2025-03-18T03:30:28.911706
ADAMSTOWN,"4/172 Brunker Road, Adamstown NSW 2289",460000,2025-01-15,unit,1.0,1.0,1.0,,2025-03-18T03:30:28.911706
ADAMSTOWN,"14 South Street, Adamstown NSW 2289",1020000,2025-01-08,house,3.0,1.0,2.0,493.0,2025-03-18T03:30:28.911706
ADAMSTOWN HEIGHTS,"9 Lucas Crescent, Adamstown Heights NSW 2289",923000,2025-03-15,house,4.0,2.0,2.0,575.0,2025-03-18T03:30:28.913706
ADAMSTOWN HEIGHTS,"6a Carolyn Street, Adamstown Heights NSW 2289",1800000,2025-03-14,house,4.0,3.0,3.0,,2025-03-18T03:30:28.913706
ADAMSTOWN HEIGHTS,"121 Lexington Parade, Adamstown Heights NSW 2289",1050000,2025-03-10,house,5.0,2.0,2.0,662.0,2025-03-18T03:30:28.913706
ADAMSTOWN HEIGHTS,"25 Bulkara Street, Adamstown Heights NSW 2289",1025000,2025-03-05,house,4.0,2.0,2.0,573.0,2025-03-18T03:30:28.913706
ADAMSTOWN HEIGHTS,"42 Garden Grove Parade, Adamstown Heights NSW 2289",805000,2025-02-25,house,3.0,2.0,1.0,658.0,2025-03-18T03:30:28.913706
ADAMSTOWN HEIGHTS,"10 Boronia Avenue, Adamstown Heights NSW 2289",1170000,2025-02-21,house,4.0,3.0,1.0,651.0,2025-03-18T03:30:28.913706
ADAMSTOWN HEIGHTS,"15 Bulkara Street, Adamstown Heights NSW 2289",915000,2025-02-03,house,3.0,1.0,2.0,512.0,2025-03-18T03:30:28.913706
ADAMSTOWN HEIGHTS,"23 Colarado Street, Adamstown Heights NSW 2289",1060000,2025-02-03,house,3.0,1.0,1.0,607.0,2025-03-18T03:30:28.913706
ADAMSTOWN HEIGHTS,"6 Wattle Close, Adamstown Heights NSW 2289",1477000,2025-02-01,house,6.0,3.0,2.0,815.0,2025-03-18T03:30:28.913706
ADAMSTOWN HEIGHTS,"19 Wade Street, Adamstown Heights NSW 2289",1030000,2025-02-01,house,3.0,2.0,1.0,,2025-03-18T03:30:28.913706
ADAMSTOWN HEIGHTS,"19 Bulkara Street, Adamstown Heights NSW 2289",1000000,2025-01-31,house,4.0,1.0,1.0,531.0,2025-03-18T03:30:28.913706
ADAMSTOWN HEIGHTS,"27 Bulkara Street, Adamstown Heights NSW 2289",870000,2025-01-21,house,2.0,1.0,1.0,790.0,2025-03-18T03:30:28.913706
ADELONG,"36 Lynch Street, Adelong NSW 2729",565000,2025-03-17,house,4.0,2.0,2.0,1012.0,2025-03-18T03:30:28.916215
AIRDS,"Address available on request, Airds NSW 2560",970000,2025-02-28,house,4.0,2.0,2.0,336.0,2025-03-18T03:30:33.873401
AIRDS,"285 Riverside Drive, Airds NSW 2560",810500,2025-02-13,house,3.0,1.0,,644.0,2025-03-18T03:30:33.873401
AIRDS,"5 Peppin Crescent, Airds NSW 2560",720000,2025-02-08,house,4.0,1.0,1.0,742.0,2025-03-18T03:30:33.873401
AIRDS,"10 Wanganella Way, Airds NSW 2560",736000,2025-02-08,house,3.0,1.0,1.0,537.0,2025-03-18T03:30:33.873401
AIRDS,"63 Merino Crescent, Airds NSW 2560",740000,2025-02-08,house,4.0,1.0,1.0,619.0,2025-03-18T03:30:33.873401
AIRDS,"5 Tasma Place, Airds NSW 2560",740000,2025-02-08,house,3.0,1.0,,485.0,2025-03-18T03:30:33.873401
AIRDS,"Lot 4217, Riverside Drive, Airds NSW 2560",500000,2025-01-28,residential land,,,,300.0,2025-03-18T03:30:33.873401
AIRDS,"3421 Riverside Drive, Airds NSW 2560",900000,2025-01-03,house,3.0,2.0,1.0,337.0,2025-03-18T03:30:33.873401
AIRLY,"2690 Glen Davis Road, Capertee NSW 2846",705000,2025-02-18,lifestyle,4.0,1.0,4.0,97200.0,2025-03-18T03:30:33.875408
AIRLY,"26 Castlereagh Highway, Capertee NSW 2846",400000,2025-01-31,house,1.0,1.0,2.0,1970.0,2025-03-18T03:30:33.875408
ALBION PARK,"9 Upland Chase, Albion Park NSW 2527",855000,2025-03-13,townhouse,4.0,2.0,2.0,,2025-03-18T03:30:39.738479
ALBION PARK,"1/15 Brae Road, Albion Park NSW 2527",730000,2025-03-12,townhouse,3.0,2.0,2.0,,2025-03-18T03:30:39.738479
ALBION PARK,"3/6-8 Dovers Avenue, Albion Park NSW 2527",772500,2025-03-07,villa,3.0,1.0,2.0,,2025-03-18T03:30:39.738479
ALBION PARK,"4/4 MacLeay Place, Albion Park NSW 2527",670000,2025-03-03,villa,3.0,1.0,1.0,,2025-03-18T03:30:39.738479
