Term,Land Use,Definition
Agritourism,,"Means the following— (a) farm gate premises, (b) farm experience premises.Note— Agritourism is a type of agriculture—see the definition of that term in this Dictionary."
Air Transport Facility,,"Means an airport or a heliport that is not part of an airport, and includes associated communication and air traffic control facilities or structures."
Airport,,"Means a place that is used for the landing, taking off, parking, maintenance or repair of aeroplanes, and includes associated buildings, installations, facilities and movement areas and any heliport that is part of the airport.Note— Airports are a type of air transport facility—see the definition of that term in this Dictionary."
Airstrip,,"Means a single runway for the landing, taking off or parking of aeroplanes for private aviation only, but does not include an airport, heliport or helipad."
Amusement Centre,,"Means a building or place (not being part of a pub or registered club) used principally for playing— (a) billiards, pool or other like games, or (b) electronic or mechanical amusement devices, such as pinball machines, computer or video games and the like."
Animal Boarding Or Training Establishment,,"Means a building or place used for the breeding, boarding, training, keeping or caring of animals for commercial purposes (other than for the agistment of horses), and includes any associated riding school or ancillary veterinary hospital."
Aquaculture,,"Has the same meaning as in the Fisheries Management Act 1994.It includes oyster aquaculture, pond-based aquaculture and tank-based aquaculture.Note— Aquaculture is a type of agriculture—see the definition of that term in this Dictionary."
Aquaculture Industry Development Plan,No,"Means an aquaculture industry development plan published under Part 6 of the Fisheries Management Act 1994.Extensive aquaculture has the same meaning as in the Fisheries Management (Aquaculture) Regulation 2017.NSW Oyster Industry Sustainable Aquaculture Strategy means the third edition of the publication of that title, as published in 2016 by the Department of Primary Industries (within the Department of Industry).Priority oyster aquaculture area means an area identified as a priority oyster aquaculture area on a map referred to in Chapter 5.3 of the NSW Oyster Industry Sustainable Aquaculture Strategy, being a map a copy of which is held in the head office of the Department of Primary Industries (within the Department of Industry) and published on that Department’s website."
Archaeological Site,No,Means a place that contains one or more relics.
Artisan Food And Drink Industry,,"Means a building or place the principal purpose of which is the making or manufacture of boutique, artisan or craft food or drink products only.It must also include at least one of the following— (a) a retail area for the sale of the products, (b) the preparation and serving, on a retail basis, of food and drink to people for consumption on the premises, whether or not liquor, take away meals and drinks or entertainment are also provided, (c) facilities for holding tastings, tours or workshops.Note— See clause 5.4 for controls in certain zones relating to the retail floor area of an artisan food and drink industry.Artisan food and drink industries are a type of light industry—see the definition of that term in this Dictionary."
Attached Dwelling,,"Means a building containing 3 or more dwellings, where— (a) each dwelling is attached to another dwelling by a common wall, and (b) each of the dwellings is on its own lot of land, and (c) none of the dwellings is located above any part of another dwelling.Note— Attached dwellings are a type of residential accommodation—see the definition of that term in this Dictionary."
Attic,No,"Means any habitable space, but not a separate dwelling, contained wholly within a roof above the ceiling line of the storey immediately below, except for minor elements such as dormer windows and the like."
Automatic Light Fitting,No,"Means a light fitting that is activated by a sensor and switches off automatically after a period of time.Critical level means the level at which the quantity of artificial light in the night sky measured through a telescope at the Siding Spring Observatory is greater than— (a) if the telescope is inclined at 30 degrees from the horizon—10% of the surface brightness of the night sky attributable to natural light sources, at the time of the solar cycle when the sky is at its darkest, or (b) if the telescope is inclined at 90 degrees from the horizon—3% of the surface brightness of the night sky attributable to natural light sources, at the time of the solar cycle when the sky is at its darkest.Horizontal plane, in relation to a light fitting, means the horizontal plane passing through the centre of the light source (for example, the bulb) of the light fitting.Light pollution means brightening of the night sky caused by artificial light.Lit development means development that is likely to result in the emission of light.Observatory director means the Director of the Research School of Astronomy and Astrophysics at the Australian National University.Outside light fitting means a light fitting that is attached or fixed outside, including on the exterior, of a building.Shielded light fitting means a light fitting that does not permit light to shine above the horizontal plane.Siding Spring Observatory means the land owned by the Australian National University at Siding Spring and the buildings and equipment situated on that land."
Backpackers’ Accommodation,,"Means a building or place that— (a) provides temporary or short-term accommodation on a commercial basis, and (b) has shared facilities, such as a communal bathroom, kitchen or laundry, and (c) provides accommodation on a bed or dormitory-style basis (rather than by room).Note— Backpackers’ accommodation is a type of tourist and visitor accommodation—see the definition of that term in this Dictionary."
Basement,No,Means the space of a building where the floor level of that space is predominantly below ground level (existing) and where the floor level of the storey immediately above is less than 1 metre above ground level (existing).
Bed And Breakfast Accommodation,,"Means an existing dwelling in which temporary or short-term accommodation is provided on a commercial basis by the permanent residents of the dwelling and where— (a) meals are provided for guests only, and (b) cooking facilities for the preparation of meals are not provided within guests’ rooms, and (c) dormitory-style accommodation is not provided.Note— See clause 5.4 for controls relating to the number of bedrooms for bed and breakfast accommodation.Bed and breakfast accommodation is a type of tourist and visitor accommodation—see the definition of that term in this Dictionary."
Bee Keeping,,Means a building or place used for the keeping and breeding of bees for commercial purposes.Note— Bee keeping is a type of extensive agriculture—see the definition of that term in this Dictionary.
Biodiversity,No,"Or biological diversity means the variety of living animal and plant life from all sources, and includes diversity within and between species and diversity of ecosystems."
Biosolids Treatment Facility,,Means a building or place used as a facility for the treatment of biosolids from a sewage treatment plant or from a water recycling facility.Note— Biosolids treatment facilities are a type of sewerage system—see the definition of that term in this Dictionary.
Boarding House,,"Means a building or place— (a) that provides residents with a principal place of residence for at least 3 months, and (b) that contains shared facilities, such as a communal living room, bathroom, kitchen or laundry, and (c) that contains rooms, some or all of which may have private kitchen and bathroom facilities, and (d) used to provide affordable housing, and (e) if not carried out by or on behalf of the Land and Housing Corporation—managed by a registered community housing provider, but does not include backpackers’ accommodation, co-living housing, a group home, hotel or motel accommodation, seniors housing or a serviced apartment."
Boat Building And Repair Facility,,"Means any facility (including a building or other structure) used primarily for the construction, maintenance or repair of boats, whether or not including the storage, sale or hire of boats, but does not include a marina or boat shed."
Boat Launching Ramp,,"Means a structure designed primarily for the launching of trailer borne recreational vessels, and includes associated car parking facilities."
